visitation_id,resident_id,visit_date,social_worker,visit_type,location_visited,family_members_present,purpose,observations,family_cooperation_level,safety_concerns_noted,follow_up_needed,follow_up_notes,visit_outcome
1488,66,2024-06-24,SW-05,Post-Placement Monitoring,Proposed Foster Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
1489,66,2024-07-22,SW-13,Reintegration Assessment,Church,Rivera (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
1490,66,2024-07-31,SW-09,Routine Follow-Up,Church,Santos (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
1491,66,2024-08-31,SW-02,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,True,True,Follow-up scheduled,Needs Improvement
1492,66,2024-10-04,SW-16,Reintegration Assessment,Community Center,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,Follow-up scheduled,Inconclusive
1493,66,2024-10-06,SW-18,Emergency,Church,None,Visitation for emergency,Visit observations recorded during emergency.,Uncooperative,False,True,,Needs Improvement
1494,66,2024-10-16,SW-18,Routine Follow-Up,School,Rivera (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
1495,66,2025-01-20,SW-03,Routine Follow-Up,School,Cruz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
1496,66,2025-01-22,SW-13,Reintegration Assessment,Family Home,Diaz (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
1497,66,2025-02-23,SW-06,Reintegration Assessment,Family Home,Garcia (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,Follow-up scheduled,Unfavorable
1498,66,2025-03-04,SW-20,Emergency,Proposed Foster Home,Santos (Parent); Mendoza (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,True,Follow-up scheduled,Unfavorable
1499,66,2025-05-13,SW-07,Reintegration Assessment,Barangay Office,Diaz (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable
1500,66,2025-06-24,SW-01,Reintegration Assessment,Barangay Office,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Inconclusive
1501,66,2025-08-03,SW-11,Post-Placement Monitoring,Barangay Office,Santos (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Inconclusive
1502,66,2025-10-07,SW-03,Reintegration Assessment,Church,Mendoza (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,,Unfavorable
1503,66,2025-10-27,SW-16,Reintegration Assessment,Family Home,Reyes (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
1504,66,2025-12-02,SW-14,Routine Follow-Up,Proposed Foster Home,Cruz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1505,66,2026-01-30,SW-04,Routine Follow-Up,School,Garcia (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
1506,66,2026-02-21,SW-01,Routine Follow-Up,Barangay Office,Rivera (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Unfavorable
1507,66,2026-02-25,SW-19,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,,Inconclusive
1508,67,2024-07-18,SW-17,Reintegration Assessment,Family Home,Lopez (Parent); Garcia (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,False,Follow-up scheduled,Inconclusive
1509,67,2024-08-21,SW-04,Routine Follow-Up,Family Home,Mendoza (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
1510,67,2024-09-29,SW-08,Routine Follow-Up,Church,Lopez (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Needs Improvement
1511,67,2024-10-01,SW-17,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
1512,67,2024-11-20,SW-20,Routine Follow-Up,Family Home,Reyes (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Unfavorable
1513,67,2024-11-25,SW-20,Routine Follow-Up,Proposed Foster Home,Torres (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
1514,67,2024-12-02,SW-02,Reintegration Assessment,Barangay Office,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement
1515,67,2024-12-19,SW-01,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,True,False,,Inconclusive
1516,67,2025-01-04,SW-20,Routine Follow-Up,Family Home,Garcia (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,,Needs Improvement
1517,67,2025-02-02,SW-05,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,,Inconclusive
1518,67,2025-03-16,SW-06,Initial Assessment,Proposed Foster Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,,Needs Improvement
1519,67,2025-04-11,SW-03,Reintegration Assessment,Community Center,Torres (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,False,Follow-up scheduled,Inconclusive
1520,67,2025-04-28,SW-11,Routine Follow-Up,Proposed Foster Home,Torres (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
1521,67,2025-05-08,SW-09,Reintegration Assessment,Family Home,Rivera (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,Follow-up scheduled,Favorable
1522,67,2025-05-15,SW-04,Routine Follow-Up,School,Cruz (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement
1523,67,2025-05-19,SW-09,Initial Assessment,Barangay Office,Garcia (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1524,67,2025-05-25,SW-09,Reintegration Assessment,Church,Santos (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Unfavorable
1525,67,2025-06-13,SW-18,Emergency,Community Center,Santos (Parent); Reyes (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Neutral,False,False,,Inconclusive
1526,67,2025-07-06,SW-08,Reintegration Assessment,Community Center,Flores (Parent); Garcia (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,False,Follow-up scheduled,Favorable
1527,67,2025-07-25,SW-16,Reintegration Assessment,Barangay Office,Santos (Parent); Garcia (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive
1528,67,2025-08-13,SW-19,Routine Follow-Up,Family Home,Flores (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1529,67,2025-08-21,SW-20,Routine Follow-Up,Church,Cruz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
1530,67,2025-08-27,SW-10,Routine Follow-Up,Family Home,Cruz (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Unfavorable
1531,67,2025-09-20,SW-04,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
1532,67,2025-10-28,SW-02,Post-Placement Monitoring,Church,Diaz (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,False,,Favorable
1533,67,2025-11-06,SW-18,Reintegration Assessment,Barangay Office,Rivera (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable
1534,67,2025-11-27,SW-18,Reintegration Assessment,Family Home,Reyes (Parent); Reyes (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,False,True,,Needs Improvement
1535,67,2026-01-16,SW-15,Reintegration Assessment,Family Home,Garcia (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable
1536,67,2026-02-25,SW-17,Routine Follow-Up,Barangay Office,Diaz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
1537,67,2026-02-28,SW-08,Reintegration Assessment,Proposed Foster Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
1538,68,2024-02-29,SW-02,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
1539,68,2024-04-07,SW-01,Routine Follow-Up,Family Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable
1540,68,2024-07-26,SW-19,Routine Follow-Up,Church,Flores (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable
1541,68,2024-12-10,SW-16,Initial Assessment,Church,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,True,False,Follow-up scheduled,Favorable
1542,68,2024-12-19,SW-12,Routine Follow-Up,School,Cruz (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
1543,68,2025-01-04,SW-01,Initial Assessment,Proposed Foster Home,Flores (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,True,Follow-up scheduled,Unfavorable
1544,68,2025-04-08,SW-11,Initial Assessment,Community Center,Cruz (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1545,68,2025-06-28,SW-14,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable
1546,68,2025-08-08,SW-16,Initial Assessment,Proposed Foster Home,Flores (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
1547,68,2025-08-21,SW-10,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
1548,68,2025-09-02,SW-10,Reintegration Assessment,Family Home,Torres (Parent); Cruz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
1549,68,2025-09-07,SW-07,Routine Follow-Up,Family Home,Reyes (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
1550,68,2025-10-11,SW-01,Reintegration Assessment,Community Center,Lopez (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,False,Follow-up scheduled,Favorable
1551,68,2025-10-12,SW-13,Initial Assessment,Community Center,Rivera (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
1552,68,2025-11-09,SW-05,Post-Placement Monitoring,School,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
1553,68,2025-11-25,SW-20,Routine Follow-Up,Proposed Foster Home,Flores (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
1554,68,2025-12-14,SW-02,Routine Follow-Up,Family Home,Lopez (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Inconclusive
1555,69,2025-07-31,SW-13,Post-Placement Monitoring,Community Center,Rivera (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
1556,69,2025-12-05,SW-20,Routine Follow-Up,Family Home,Flores (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
1557,70,2024-03-18,SW-13,Routine Follow-Up,School,Reyes (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
1558,70,2024-03-26,SW-15,Routine Follow-Up,School,Rivera (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Inconclusive
1559,70,2024-05-23,SW-13,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
1560,70,2024-06-29,SW-17,Post-Placement Monitoring,Church,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Favorable
1561,70,2024-07-05,SW-15,Initial Assessment,Barangay Office,Santos (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
1562,70,2024-08-25,SW-05,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Favorable
1563,70,2025-01-02,SW-01,Routine Follow-Up,Church,Reyes (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1564,70,2025-01-18,SW-07,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,False,Follow-up scheduled,Inconclusive
1565,70,2025-03-03,SW-20,Initial Assessment,Proposed Foster Home,Flores (Parent); Garcia (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
1566,70,2025-03-04,SW-16,Routine Follow-Up,Proposed Foster Home,Cruz (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
1567,70,2025-06-14,SW-04,Reintegration Assessment,Family Home,Flores (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive
1568,70,2025-07-20,SW-18,Routine Follow-Up,Community Center,Reyes (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
1569,70,2025-09-04,SW-19,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
1570,70,2025-09-11,SW-03,Post-Placement Monitoring,Church,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,,Favorable
1571,70,2025-10-17,SW-17,Routine Follow-Up,Family Home,Torres (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Inconclusive
1572,70,2025-10-22,SW-13,Routine Follow-Up,Family Home,Cruz (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
1573,70,2025-10-26,SW-06,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
1574,70,2026-02-05,SW-10,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
1575,71,2023-04-08,SW-20,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,True,True,,Needs Improvement
1576,71,2023-04-17,SW-01,Initial Assessment,Family Home,Santos (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
1577,71,2023-04-20,SW-09,Routine Follow-Up,Church,Flores (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1578,71,2023-05-02,SW-12,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,False,,Favorable
1579,71,2023-06-09,SW-18,Initial Assessment,Family Home,Flores (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
1580,71,2023-06-13,SW-14,Post-Placement Monitoring,Community Center,Reyes (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,,Inconclusive
1581,71,2023-07-26,SW-12,Routine Follow-Up,Family Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Unfavorable
1582,71,2023-08-07,SW-08,Routine Follow-Up,School,Rivera (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,True,Follow-up scheduled,Needs Improvement
1583,71,2023-08-19,SW-10,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
1584,71,2023-08-20,SW-13,Initial Assessment,Proposed Foster Home,Torres (Parent); Flores (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
1585,71,2023-09-02,SW-01,Emergency,Family Home,Diaz (Parent); Diaz (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,False,Follow-up scheduled,Inconclusive
1586,71,2023-09-14,SW-03,Routine Follow-Up,Proposed Foster Home,Torres (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
1587,71,2023-10-15,SW-16,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,False,Follow-up scheduled,Inconclusive
1588,71,2023-10-24,SW-05,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Needs Improvement
1589,71,2023-10-31,SW-13,Post-Placement Monitoring,Community Center,Mendoza (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,,Needs Improvement
1590,71,2023-11-18,SW-18,Reintegration Assessment,Community Center,Lopez (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement
1591,71,2023-12-02,SW-13,Initial Assessment,School,Lopez (Parent); Lopez (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,,Favorable
1592,71,2023-12-06,SW-15,Routine Follow-Up,Barangay Office,Mendoza (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,True,Follow-up scheduled,Unfavorable
1593,71,2024-01-27,SW-17,Post-Placement Monitoring,Barangay Office,Torres (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,True,Follow-up scheduled,Needs Improvement
1594,71,2024-03-01,SW-16,Post-Placement Monitoring,Family Home,Santos (Parent); Cruz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,False,,Inconclusive
1595,71,2024-03-04,SW-20,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
1596,71,2024-04-09,SW-14,Emergency,School,Flores (Parent); Torres (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
1597,71,2024-04-15,SW-14,Post-Placement Monitoring,Family Home,Reyes (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,False,Follow-up scheduled,Favorable
1598,71,2024-04-19,SW-07,Routine Follow-Up,Proposed Foster Home,Diaz (Parent); Reyes (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable
1599,71,2024-04-24,SW-06,Routine Follow-Up,Barangay Office,Santos (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Inconclusive
1600,71,2024-05-01,SW-17,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Unfavorable
1601,71,2024-05-14,SW-19,Reintegration Assessment,Community Center,Cruz (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,False,Follow-up scheduled,Favorable
1602,71,2024-06-04,SW-02,Routine Follow-Up,Barangay Office,Mendoza (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Inconclusive
1603,71,2024-07-27,SW-03,Routine Follow-Up,School,Rivera (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,,Favorable
1604,71,2024-08-16,SW-18,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,Follow-up scheduled,Inconclusive
1605,71,2024-10-05,SW-13,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1606,71,2024-10-25,SW-06,Initial Assessment,Proposed Foster Home,Santos (Parent); Santos (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
1607,71,2024-11-16,SW-18,Post-Placement Monitoring,Family Home,Diaz (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,,Inconclusive
1608,71,2024-11-23,SW-20,Routine Follow-Up,Community Center,Cruz (Parent); Santos (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,,Unfavorable
1609,71,2024-11-28,SW-01,Routine Follow-Up,Barangay Office,Lopez (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,True,Follow-up scheduled,Needs Improvement
1610,72,2024-06-04,SW-04,Routine Follow-Up,Barangay Office,Rivera (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
1611,72,2024-07-01,SW-06,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,Follow-up scheduled,Unfavorable
1612,72,2024-07-01,SW-12,Emergency,Family Home,Reyes (Parent); Santos (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,True,False,Follow-up scheduled,Favorable
1613,72,2024-07-14,SW-10,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement
1614,72,2024-08-11,SW-15,Initial Assessment,Barangay Office,Flores (Parent); Cruz (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
1615,72,2024-08-24,SW-14,Post-Placement Monitoring,Community Center,Lopez (Parent); Reyes (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Neutral,False,False,,Favorable
1616,72,2024-09-22,SW-06,Initial Assessment,School,Reyes (Parent); Garcia (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,True,,Needs Improvement
1617,72,2024-10-04,SW-07,Initial Assessment,Proposed Foster Home,None,Visitation for initial assessment,Visit observations recorded during initial assessment.,Neutral,False,False,Follow-up scheduled,Favorable
1618,72,2024-10-08,SW-05,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
1619,72,2024-10-26,SW-08,Reintegration Assessment,Family Home,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,False,,Favorable
1620,72,2024-10-28,SW-16,Reintegration Assessment,Proposed Foster Home,Santos (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable
1621,72,2024-10-31,SW-18,Reintegration Assessment,Family Home,Garcia (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
1622,72,2024-11-27,SW-12,Initial Assessment,Barangay Office,Garcia (Parent); Reyes (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,False,False,,Inconclusive
1623,72,2025-01-29,SW-08,Reintegration Assessment,Community Center,Reyes (Parent); Cruz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Needs Improvement
1624,72,2025-03-01,SW-06,Reintegration Assessment,Family Home,Mendoza (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement
1625,72,2025-03-17,SW-13,Routine Follow-Up,Community Center,Lopez (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
1626,72,2025-06-25,SW-02,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,True,False,,Favorable
1627,72,2025-07-05,SW-07,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,False,,Favorable
