plan_id,resident_id,plan_category,plan_description,services_provided,target_value,target_date,status,case_conference_date,created_at,updated_at
176,59,Education,Improve participation and course completion,"Caring, Legal Services, Teaching",0.85,2024-01-01,Open,2023-12-31,2023-06-01 00:00:00,2024-02-01 00:00:00
177,59,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring",4.2,2024-01-01,In Progress,2023-12-16,2023-06-01 00:00:00,2024-02-01 00:00:00
178,60,Safety,Maintain a stable and safe environment,Teaching,4.2,2024-05-01,Open,,2024-01-01 00:00:00,2024-06-01 00:00:00
179,60,Education,Improve participation and course completion,"Teaching, Legal Services, Caring",0.85,2024-05-01,In Progress,2024-02-03,2024-01-01 00:00:00,2024-06-01 00:00:00
180,60,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services, Healing",4.2,2024-05-01,Achieved,,2024-01-01 00:00:00,2024-06-01 00:00:00
181,61,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Teaching",4.2,2024-02-01,On Hold,2023-11-01,2023-10-01 00:00:00,2024-03-01 00:00:00
182,61,Education,Improve participation and course completion,"Caring, Legal Services, Healing",0.85,2024-02-01,In Progress,2024-01-30,2023-10-01 00:00:00,2024-03-01 00:00:00
183,61,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-02-01,On Hold,2023-10-24,2023-10-01 00:00:00,2024-03-01 00:00:00
184,62,Safety,Maintain a stable and safe environment,Legal Services,4.2,2023-11-01,On Hold,2023-11-02,2023-03-01 00:00:00,2023-12-01 00:00:00
185,62,Education,Improve participation and course completion,"Healing, Caring",0.85,2023-11-01,Open,2023-04-26,2023-03-01 00:00:00,2023-12-01 00:00:00
186,62,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Caring, Teaching",4.2,2023-11-01,Achieved,2023-04-21,2023-03-01 00:00:00,2023-12-01 00:00:00
187,63,Safety,Maintain a stable and safe environment,Caring,4.2,2025-02-01,Open,,2024-05-01 00:00:00,2025-03-01 00:00:00
188,63,Education,Improve participation and course completion,"Caring, Teaching, Legal Services",0.85,2025-02-01,On Hold,2024-12-17,2024-05-01 00:00:00,2025-03-01 00:00:00
189,63,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing, Teaching",4.2,2025-02-01,Open,2025-01-29,2024-05-01 00:00:00,2025-03-01 00:00:00
190,64,Safety,Maintain a stable and safe environment,"Caring, Healing",4.2,2025-06-01,Open,2025-06-14,2024-09-01 00:00:00,2025-07-01 00:00:00
191,64,Education,Improve participation and course completion,Teaching,0.85,2025-06-01,In Progress,2025-05-21,2024-09-01 00:00:00,2025-07-01 00:00:00
192,64,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2025-06-01,In Progress,2025-05-06,2024-09-01 00:00:00,2025-07-01 00:00:00
193,65,Safety,Maintain a stable and safe environment,"Healing, Teaching, Legal Services",4.2,2024-08-01,In Progress,2024-08-10,2024-01-01 00:00:00,2024-09-01 00:00:00
194,65,Education,Improve participation and course completion,"Healing, Caring, Teaching",0.85,2024-08-01,In Progress,,2024-01-01 00:00:00,2024-09-01 00:00:00
195,65,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-08-01,Achieved,2024-07-06,2024-01-01 00:00:00,2024-09-01 00:00:00
196,66,Safety,Maintain a stable and safe environment,"Caring, Legal Services, Healing",4.2,2024-05-01,On Hold,2023-08-16,2023-08-01 00:00:00,2024-06-01 00:00:00
197,66,Education,Improve participation and course completion,"Legal Services, Healing",0.85,2024-05-01,In Progress,,2023-08-01 00:00:00,2024-06-01 00:00:00
198,66,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring, Legal Services",4.2,2024-05-01,Open,2023-12-15,2023-08-01 00:00:00,2024-06-01 00:00:00
199,67,Safety,Maintain a stable and safe environment,"Caring, Healing, Legal Services",4.2,2025-01-01,In Progress,2024-12-20,2024-06-01 00:00:00,2025-02-01 00:00:00
200,67,Education,Improve participation and course completion,"Legal Services, Healing",0.85,2025-01-01,In Progress,2024-08-02,2024-06-01 00:00:00,2025-02-01 00:00:00
201,67,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services, Teaching",4.2,2025-01-01,Open,2024-11-25,2024-06-01 00:00:00,2025-02-01 00:00:00
202,68,Safety,Maintain a stable and safe environment,"Healing, Teaching",4.2,2024-06-01,Achieved,,2024-02-01 00:00:00,2024-07-01 00:00:00
203,68,Education,Improve participation and course completion,"Teaching, Caring, Legal Services",0.85,2024-06-01,Open,2024-04-05,2024-02-01 00:00:00,2024-07-01 00:00:00
204,68,Physical Health,Improve nutrition and overall wellbeing,"Caring, Healing",4.2,2024-06-01,Open,2024-02-10,2024-02-01 00:00:00,2024-07-01 00:00:00
205,69,Safety,Maintain a stable and safe environment,"Caring, Healing, Legal Services",4.2,2025-11-01,Open,2025-07-17,2025-04-01 00:00:00,2025-12-01 00:00:00
206,69,Education,Improve participation and course completion,Teaching,0.85,2025-11-01,In Progress,2025-05-11,2025-04-01 00:00:00,2025-12-01 00:00:00
207,69,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching, Caring",4.2,2025-11-01,Open,,2025-04-01 00:00:00,2025-12-01 00:00:00
208,70,Safety,Maintain a stable and safe environment,Caring,4.2,2024-04-01,In Progress,2023-12-22,2023-10-01 00:00:00,2024-05-01 00:00:00
209,70,Education,Improve participation and course completion,"Teaching, Healing",0.85,2024-04-01,Achieved,2023-10-25,2023-10-01 00:00:00,2024-05-01 00:00:00
210,70,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring, Legal Services",4.2,2024-04-01,Open,2024-04-17,2023-10-01 00:00:00,2024-05-01 00:00:00
211,71,Safety,Maintain a stable and safe environment,"Caring, Teaching",4.2,2023-11-01,On Hold,2023-05-24,2023-04-01 00:00:00,2023-12-01 00:00:00
212,71,Education,Improve participation and course completion,"Caring, Teaching",0.85,2023-11-01,On Hold,2023-06-16,2023-04-01 00:00:00,2023-12-01 00:00:00
213,71,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring",4.2,2023-11-01,In Progress,2023-08-10,2023-04-01 00:00:00,2023-12-01 00:00:00
214,72,Safety,Maintain a stable and safe environment,"Healing, Teaching, Caring",4.2,2025-04-01,In Progress,2024-12-31,2024-06-01 00:00:00,2025-05-01 00:00:00
215,72,Education,Improve participation and course completion,Healing,0.85,2025-04-01,Achieved,2024-11-16,2024-06-01 00:00:00,2025-05-01 00:00:00
216,72,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2025-04-01,Achieved,2024-12-19,2024-06-01 00:00:00,2025-05-01 00:00:00
217,73,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Teaching",4.2,2023-06-01,In Progress,,2023-02-01 00:00:00,2023-07-01 00:00:00
218,73,Education,Improve participation and course completion,"Healing, Teaching, Legal Services",0.85,2023-06-01,In Progress,2023-04-25,2023-02-01 00:00:00,2023-07-01 00:00:00
219,73,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services, Teaching",4.2,2023-06-01,Open,,2023-02-01 00:00:00,2023-07-01 00:00:00
220,74,Safety,Maintain a stable and safe environment,"Teaching, Caring",4.2,2025-07-01,In Progress,2025-01-05,2025-01-01 00:00:00,2025-08-01 00:00:00
221,74,Education,Improve participation and course completion,"Healing, Teaching, Caring",0.85,2025-07-01,Achieved,2025-01-03,2025-01-01 00:00:00,2025-08-01 00:00:00
222,74,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services, Teaching",4.2,2025-07-01,Achieved,2025-07-21,2025-01-01 00:00:00,2025-08-01 00:00:00
223,75,Safety,Maintain a stable and safe environment,"Teaching, Healing",4.2,2025-08-01,In Progress,2025-04-10,2024-10-01 00:00:00,2025-09-01 00:00:00
224,75,Education,Improve participation and course completion,"Legal Services, Teaching, Healing",0.85,2025-08-01,In Progress,2025-08-23,2024-10-01 00:00:00,2025-09-01 00:00:00
225,75,Physical Health,Improve nutrition and overall wellbeing,"Caring, Legal Services, Teaching",4.2,2025-08-01,On Hold,2025-01-29,2024-10-01 00:00:00,2025-09-01 00:00:00
226,76,Safety,Maintain a stable and safe environment,"Legal Services, Teaching",4.2,2023-10-01,Achieved,2023-09-07,2023-06-01 00:00:00,2023-11-01 00:00:00
227,76,Education,Improve participation and course completion,"Healing, Caring",0.85,2023-10-01,In Progress,,2023-06-01 00:00:00,2023-11-01 00:00:00
228,76,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching",4.2,2023-10-01,Achieved,2023-09-25,2023-06-01 00:00:00,2023-11-01 00:00:00
229,77,Safety,Maintain a stable and safe environment,"Legal Services, Healing, Caring",4.2,2025-08-01,On Hold,2025-02-26,2025-01-01 00:00:00,2025-09-01 00:00:00
230,77,Education,Improve participation and course completion,"Legal Services, Caring",0.85,2025-08-01,Achieved,2025-06-20,2025-01-01 00:00:00,2025-09-01 00:00:00
231,77,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching, Healing",4.2,2025-08-01,In Progress,,2025-01-01 00:00:00,2025-09-01 00:00:00
232,78,Safety,Maintain a stable and safe environment,"Legal Services, Caring",4.2,2024-06-01,Open,2024-01-09,2023-12-01 00:00:00,2024-07-01 00:00:00
233,78,Education,Improve participation and course completion,"Caring, Healing",0.85,2024-06-01,Open,,2023-12-01 00:00:00,2024-07-01 00:00:00
234,78,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services",4.2,2024-06-01,In Progress,2024-03-19,2023-12-01 00:00:00,2024-07-01 00:00:00
235,79,Safety,Maintain a stable and safe environment,Caring,4.2,2024-05-01,In Progress,2024-05-19,2024-01-01 00:00:00,2024-06-01 00:00:00
236,79,Education,Improve participation and course completion,Caring,0.85,2024-05-01,On Hold,2024-03-16,2024-01-01 00:00:00,2024-06-01 00:00:00
237,79,Physical Health,Improve nutrition and overall wellbeing,Legal Services,4.2,2024-05-01,Open,,2024-01-01 00:00:00,2024-06-01 00:00:00
238,80,Safety,Maintain a stable and safe environment,"Caring, Teaching, Legal Services",4.2,2025-10-01,Open,,2025-03-01 00:00:00,2025-11-01 00:00:00
239,80,Education,Improve participation and course completion,"Caring, Healing",0.85,2025-10-01,Open,2025-03-21,2025-03-01 00:00:00,2025-11-01 00:00:00
240,80,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching, Legal Services",4.2,2025-10-01,On Hold,,2025-03-01 00:00:00,2025-11-01 00:00:00
241,81,Safety,Maintain a stable and safe environment,"Caring, Legal Services, Teaching",4.2,2024-04-01,In Progress,,2023-10-01 00:00:00,2024-05-01 00:00:00
242,81,Education,Improve participation and course completion,Caring,0.85,2024-04-01,In Progress,2023-11-23,2023-10-01 00:00:00,2024-05-01 00:00:00
243,81,Physical Health,Improve nutrition and overall wellbeing,"Caring, Healing",4.2,2024-04-01,Achieved,2024-02-02,2023-10-01 00:00:00,2024-05-01 00:00:00
244,82,Safety,Maintain a stable and safe environment,Healing,4.2,2023-11-01,Open,,2023-05-01 00:00:00,2023-12-01 00:00:00
245,82,Education,Improve participation and course completion,"Teaching, Caring, Legal Services",0.85,2023-11-01,In Progress,2023-10-06,2023-05-01 00:00:00,2023-12-01 00:00:00
246,82,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing, Teaching",4.2,2023-11-01,Open,,2023-05-01 00:00:00,2023-12-01 00:00:00
247,83,Safety,Maintain a stable and safe environment,"Caring, Teaching",4.2,2023-11-01,In Progress,2023-09-16,2023-02-01 00:00:00,2023-12-01 00:00:00
248,83,Education,Improve participation and course completion,Teaching,0.85,2023-11-01,Closed,2023-09-23,2023-02-01 00:00:00,2023-12-01 00:00:00
249,83,Physical Health,Improve nutrition and overall wellbeing,"Caring, Legal Services",4.2,2023-11-01,In Progress,,2023-02-01 00:00:00,2023-12-01 00:00:00
250,84,Safety,Maintain a stable and safe environment,Caring,4.2,2025-04-01,Achieved,2025-03-14,2024-11-01 00:00:00,2025-05-01 00:00:00
251,84,Education,Improve participation and course completion,"Teaching, Healing",0.85,2025-04-01,Open,2025-01-02,2024-11-01 00:00:00,2025-05-01 00:00:00
252,84,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services",4.2,2025-04-01,In Progress,2024-11-30,2024-11-01 00:00:00,2025-05-01 00:00:00
253,85,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Caring",4.2,2024-04-01,In Progress,2024-03-20,2023-06-01 00:00:00,2024-05-01 00:00:00
254,85,Education,Improve participation and course completion,Healing,0.85,2024-04-01,Achieved,2024-04-10,2023-06-01 00:00:00,2024-05-01 00:00:00
255,85,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring, Legal Services",4.2,2024-04-01,Closed,2023-12-12,2023-06-01 00:00:00,2024-05-01 00:00:00
256,86,Safety,Maintain a stable and safe environment,"Legal Services, Teaching, Caring",4.2,2024-01-01,In Progress,2023-09-30,2023-07-01 00:00:00,2024-02-01 00:00:00
257,86,Education,Improve participation and course completion,Healing,0.85,2024-01-01,In Progress,2023-12-13,2023-07-01 00:00:00,2024-02-01 00:00:00
258,86,Physical Health,Improve nutrition and overall wellbeing,Healing,4.2,2024-01-01,On Hold,2023-10-28,2023-07-01 00:00:00,2024-02-01 00:00:00
259,87,Safety,Maintain a stable and safe environment,"Teaching, Healing, Legal Services",4.2,2025-11-01,Achieved,2025-10-26,2025-03-01 00:00:00,2025-12-01 00:00:00
260,87,Education,Improve participation and course completion,Healing,0.85,2025-11-01,Achieved,2025-08-28,2025-03-01 00:00:00,2025-12-01 00:00:00
261,87,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing, Caring",4.2,2025-11-01,Achieved,2025-11-07,2025-03-01 00:00:00,2025-12-01 00:00:00
262,88,Safety,Maintain a stable and safe environment,Teaching,4.2,2024-09-01,In Progress,2024-08-12,2023-11-01 00:00:00,2024-10-01 00:00:00
263,88,Education,Improve participation and course completion,"Healing, Caring, Legal Services",0.85,2024-09-01,On Hold,2024-03-04,2023-11-01 00:00:00,2024-10-01 00:00:00
264,88,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2024-09-01,Achieved,,2023-11-01 00:00:00,2024-10-01 00:00:00
265,89,Safety,Maintain a stable and safe environment,"Healing, Teaching",4.2,2023-07-01,Open,,2023-03-01 00:00:00,2023-08-01 00:00:00
266,89,Education,Improve participation and course completion,"Teaching, Caring, Healing",0.85,2023-07-01,On Hold,,2023-03-01 00:00:00,2023-08-01 00:00:00
267,89,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching",4.2,2023-07-01,Open,,2023-03-01 00:00:00,2023-08-01 00:00:00
268,90,Safety,Maintain a stable and safe environment,"Caring, Teaching, Healing",4.2,2024-10-01,In Progress,,2024-01-01 00:00:00,2024-11-01 00:00:00
269,90,Education,Improve participation and course completion,Legal Services,0.85,2024-10-01,In Progress,2024-10-02,2024-01-01 00:00:00,2024-11-01 00:00:00
270,90,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing, Caring",4.2,2024-10-01,In Progress,,2024-01-01 00:00:00,2024-11-01 00:00:00
271,91,Safety,Maintain a stable and safe environment,"Healing, Teaching, Legal Services",4.2,2024-04-01,On Hold,2024-04-29,2023-09-01 00:00:00,2024-05-01 00:00:00
272,91,Education,Improve participation and course completion,"Caring, Teaching",0.85,2024-04-01,In Progress,2023-10-15,2023-09-01 00:00:00,2024-05-01 00:00:00
273,91,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching",4.2,2024-04-01,In Progress,,2023-09-01 00:00:00,2024-05-01 00:00:00
274,92,Safety,Maintain a stable and safe environment,"Teaching, Legal Services",4.2,2025-09-01,In Progress,,2025-02-01 00:00:00,2025-10-01 00:00:00
275,92,Education,Improve participation and course completion,"Healing, Caring, Legal Services",0.85,2025-09-01,Achieved,2025-09-22,2025-02-01 00:00:00,2025-10-01 00:00:00
276,92,Physical Health,Improve nutrition and overall wellbeing,Healing,4.2,2025-09-01,On Hold,2025-06-25,2025-02-01 00:00:00,2025-10-01 00:00:00
277,93,Safety,Maintain a stable and safe environment,"Legal Services, Healing",4.2,2025-06-01,Achieved,,2024-12-01 00:00:00,2025-07-01 00:00:00
278,93,Education,Improve participation and course completion,Caring,0.85,2025-06-01,In Progress,,2024-12-01 00:00:00,2025-07-01 00:00:00
279,93,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching, Legal Services",4.2,2025-06-01,In Progress,,2024-12-01 00:00:00,2025-07-01 00:00:00
280,94,Safety,Maintain a stable and safe environment,"Caring, Healing, Teaching",4.2,2024-04-01,On Hold,,2023-07-01 00:00:00,2024-05-01 00:00:00
281,94,Education,Improve participation and course completion,"Healing, Legal Services, Teaching",0.85,2024-04-01,On Hold,2023-12-26,2023-07-01 00:00:00,2024-05-01 00:00:00
282,94,Physical Health,Improve nutrition and overall wellbeing,"Healing, Legal Services",4.2,2024-04-01,In Progress,2023-11-13,2023-07-01 00:00:00,2024-05-01 00:00:00
283,95,Safety,Maintain a stable and safe environment,Healing,4.2,2025-04-01,On Hold,2024-12-18,2024-08-01 00:00:00,2025-05-01 00:00:00
284,95,Education,Improve participation and course completion,"Teaching, Healing",0.85,2025-04-01,Closed,,2024-08-01 00:00:00,2025-05-01 00:00:00
285,95,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2025-04-01,On Hold,2024-10-15,2024-08-01 00:00:00,2025-05-01 00:00:00
286,96,Safety,Maintain a stable and safe environment,Teaching,4.2,2023-07-01,In Progress,2023-03-20,2023-03-01 00:00:00,2023-08-01 00:00:00
287,96,Education,Improve participation and course completion,"Teaching, Caring, Healing",0.85,2023-07-01,In Progress,2023-03-06,2023-03-01 00:00:00,2023-08-01 00:00:00
288,96,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2023-07-01,In Progress,,2023-03-01 00:00:00,2023-08-01 00:00:00
289,97,Safety,Maintain a stable and safe environment,"Healing, Teaching",4.2,2024-11-01,In Progress,,2024-01-01 00:00:00,2024-12-01 00:00:00
290,97,Education,Improve participation and course completion,"Teaching, Caring, Healing",0.85,2024-11-01,In Progress,2024-05-05,2024-01-01 00:00:00,2024-12-01 00:00:00
291,97,Physical Health,Improve nutrition and overall wellbeing,"Caring, Healing",4.2,2024-11-01,In Progress,,2024-01-01 00:00:00,2024-12-01 00:00:00
292,98,Safety,Maintain a stable and safe environment,"Teaching, Caring, Healing",4.2,2024-12-01,In Progress,2024-12-01,2024-04-01 00:00:00,2025-01-01 00:00:00
293,98,Education,Improve participation and course completion,"Caring, Teaching",0.85,2024-12-01,Open,,2024-04-01 00:00:00,2025-01-01 00:00:00
294,98,Physical Health,Improve nutrition and overall wellbeing,Healing,4.2,2024-12-01,On Hold,2024-07-20,2024-04-01 00:00:00,2025-01-01 00:00:00
295,99,Safety,Maintain a stable and safe environment,Caring,4.2,2025-07-01,Achieved,2025-05-03,2024-10-01 00:00:00,2025-08-01 00:00:00
296,99,Education,Improve participation and course completion,Teaching,0.85,2025-07-01,Achieved,2025-05-13,2024-10-01 00:00:00,2025-08-01 00:00:00
297,99,Physical Health,Improve nutrition and overall wellbeing,Legal Services,4.2,2025-07-01,On Hold,2025-07-04,2024-10-01 00:00:00,2025-08-01 00:00:00
298,100,Safety,Maintain a stable and safe environment,"Teaching, Healing, Caring",4.2,2026-01-01,In Progress,,2025-03-01 00:00:00,2026-02-01 00:00:00
299,100,Education,Improve participation and course completion,Teaching,0.85,2026-01-01,Open,2025-10-19,2025-03-01 00:00:00,2026-02-01 00:00:00
300,100,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching",4.2,2026-01-01,Open,2025-06-02,2025-03-01 00:00:00,2026-02-01 00:00:00
301,101,Safety,Maintain a stable and safe environment,Legal Services,3.6,2024-10-01,In Progress,2024-10-26,2024-04-01 00:00:00,2024-11-01 00:00:00
302,101,Education,Improve participation and course completion,"Legal Services, Teaching",0.65,2024-10-01,In Progress,2024-07-15,2024-04-01 00:00:00,2024-11-01 00:00:00
303,101,Physical Health,Improve nutrition and overall wellbeing,"Caring, Legal Services",3.6,2024-10-01,In Progress,2024-04-13,2024-04-01 00:00:00,2024-11-01 00:00:00
304,102,Safety,Maintain a stable and safe environment,"Legal Services, Caring, Healing",4.2,2025-05-01,In Progress,2025-05-31,2024-12-01 00:00:00,2025-06-01 00:00:00
305,102,Education,Improve participation and course completion,"Healing, Caring, Legal Services",0.85,2025-05-01,In Progress,2025-03-08,2024-12-01 00:00:00,2025-06-01 00:00:00
306,102,Physical Health,Improve nutrition and overall wellbeing,"Caring, Legal Services",4.2,2025-05-01,Open,2025-04-26,2024-12-01 00:00:00,2025-06-01 00:00:00
307,103,Safety,Maintain a stable and safe environment,"Legal Services, Teaching, Caring",4.2,2024-12-01,On Hold,,2024-07-01 00:00:00,2025-01-01 00:00:00
308,103,Education,Improve participation and course completion,"Caring, Healing, Teaching",0.85,2024-12-01,In Progress,,2024-07-01 00:00:00,2025-01-01 00:00:00
309,103,Physical Health,Improve nutrition and overall wellbeing,"Caring, Healing",4.2,2024-12-01,On Hold,2024-09-03,2024-07-01 00:00:00,2025-01-01 00:00:00
310,104,Safety,Maintain a stable and safe environment,"Healing, Caring",3.6,2024-04-01,On Hold,2024-04-09,2023-09-01 00:00:00,2024-05-01 00:00:00
311,104,Education,Improve participation and course completion,"Healing, Teaching",0.65,2024-04-01,Open,2023-11-23,2023-09-01 00:00:00,2024-05-01 00:00:00
312,104,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Caring, Legal Services",3.6,2024-04-01,Open,2024-04-30,2023-09-01 00:00:00,2024-05-01 00:00:00
313,105,Safety,Maintain a stable and safe environment,Teaching,4.2,2023-09-01,On Hold,2023-09-25,2023-02-01 00:00:00,2023-10-01 00:00:00
314,105,Education,Improve participation and course completion,"Teaching, Legal Services",0.85,2023-09-01,In Progress,,2023-02-01 00:00:00,2023-10-01 00:00:00
315,105,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Legal Services",4.2,2023-09-01,On Hold,2023-07-02,2023-02-01 00:00:00,2023-10-01 00:00:00
316,106,Safety,Maintain a stable and safe environment,"Healing, Caring",4.2,2024-07-01,On Hold,2024-04-26,2024-01-01 00:00:00,2024-08-01 00:00:00
317,106,Education,Improve participation and course completion,"Healing, Caring",0.85,2024-07-01,In Progress,,2024-01-01 00:00:00,2024-08-01 00:00:00
318,106,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2024-07-01,Open,2024-07-27,2024-01-01 00:00:00,2024-08-01 00:00:00
319,107,Safety,Maintain a stable and safe environment,Caring,4.2,2024-02-01,Achieved,2023-07-25,2023-07-01 00:00:00,2024-03-01 00:00:00
320,107,Education,Improve participation and course completion,Caring,0.85,2024-02-01,Open,2023-08-21,2023-07-01 00:00:00,2024-03-01 00:00:00
321,107,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching, Legal Services",4.2,2024-02-01,On Hold,2023-10-27,2023-07-01 00:00:00,2024-03-01 00:00:00
322,108,Safety,Maintain a stable and safe environment,Legal Services,4.2,2025-01-01,Achieved,2024-08-03,2024-08-01 00:00:00,2025-02-01 00:00:00
323,108,Education,Improve participation and course completion,"Legal Services, Caring",0.85,2025-01-01,Achieved,2024-10-28,2024-08-01 00:00:00,2025-02-01 00:00:00
324,108,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching",4.2,2025-01-01,Open,2024-11-03,2024-08-01 00:00:00,2025-02-01 00:00:00
325,109,Safety,Maintain a stable and safe environment,"Teaching, Legal Services, Caring",4.2,2024-10-01,On Hold,2024-09-15,2024-05-01 00:00:00,2024-11-01 00:00:00
326,109,Education,Improve participation and course completion,"Legal Services, Healing",0.85,2024-10-01,On Hold,2024-09-27,2024-05-01 00:00:00,2024-11-01 00:00:00
327,109,Physical Health,Improve nutrition and overall wellbeing,Teaching,4.2,2024-10-01,In Progress,2024-08-08,2024-05-01 00:00:00,2024-11-01 00:00:00
328,110,Safety,Maintain a stable and safe environment,"Teaching, Caring",4.2,2023-11-01,In Progress,2023-10-01,2023-01-01 00:00:00,2023-12-01 00:00:00
329,110,Education,Improve participation and course completion,Legal Services,0.85,2023-11-01,In Progress,2023-01-15,2023-01-01 00:00:00,2023-12-01 00:00:00
330,110,Physical Health,Improve nutrition and overall wellbeing,"Teaching, Healing",4.2,2023-11-01,Open,2023-11-24,2023-01-01 00:00:00,2023-12-01 00:00:00
331,111,Safety,Maintain a stable and safe environment,Caring,4.2,2024-08-01,In Progress,2024-05-05,2024-04-01 00:00:00,2024-09-01 00:00:00
332,111,Education,Improve participation and course completion,"Healing, Teaching",0.85,2024-08-01,In Progress,2024-06-27,2024-04-01 00:00:00,2024-09-01 00:00:00
333,111,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Caring, Healing",4.2,2024-08-01,Achieved,2024-07-22,2024-04-01 00:00:00,2024-09-01 00:00:00
334,112,Safety,Maintain a stable and safe environment,"Caring, Legal Services, Teaching",4.2,2024-07-01,In Progress,2024-02-26,2024-02-01 00:00:00,2024-08-01 00:00:00
335,112,Education,Improve participation and course completion,"Legal Services, Caring, Teaching",0.85,2024-07-01,In Progress,2024-05-13,2024-02-01 00:00:00,2024-08-01 00:00:00
336,112,Physical Health,Improve nutrition and overall wellbeing,"Healing, Caring",4.2,2024-07-01,On Hold,2024-02-09,2024-02-01 00:00:00,2024-08-01 00:00:00
337,113,Safety,Maintain a stable and safe environment,Teaching,4.2,2024-08-01,Open,2024-08-21,2023-10-01 00:00:00,2024-09-01 00:00:00
338,113,Education,Improve participation and course completion,"Caring, Legal Services",0.85,2024-08-01,In Progress,2024-01-31,2023-10-01 00:00:00,2024-09-01 00:00:00
339,113,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing",4.2,2024-08-01,Open,2024-07-21,2023-10-01 00:00:00,2024-09-01 00:00:00
340,114,Safety,Maintain a stable and safe environment,"Legal Services, Teaching, Caring",4.2,2024-02-01,In Progress,2023-10-10,2023-04-01 00:00:00,2024-03-01 00:00:00
341,114,Education,Improve participation and course completion,"Caring, Teaching, Healing",0.85,2024-02-01,Open,,2023-04-01 00:00:00,2024-03-01 00:00:00
342,114,Physical Health,Improve nutrition and overall wellbeing,Healing,4.2,2024-02-01,In Progress,2023-10-07,2023-04-01 00:00:00,2024-03-01 00:00:00
343,115,Safety,Maintain a stable and safe environment,"Healing, Legal Services, Teaching",4.2,2025-09-01,On Hold,2025-04-24,2025-04-01 00:00:00,2025-10-01 00:00:00
344,115,Education,Improve participation and course completion,"Healing, Teaching, Legal Services",0.85,2025-09-01,Achieved,2025-09-27,2025-04-01 00:00:00,2025-10-01 00:00:00
345,115,Physical Health,Improve nutrition and overall wellbeing,"Caring, Teaching, Legal Services",4.2,2025-09-01,Achieved,,2025-04-01 00:00:00,2025-10-01 00:00:00
346,116,Safety,Maintain a stable and safe environment,"Teaching, Caring",4.2,2025-06-01,In Progress,2025-04-11,2024-10-01 00:00:00,2025-07-01 00:00:00
347,116,Education,Improve participation and course completion,Legal Services,0.85,2025-06-01,On Hold,,2024-10-01 00:00:00,2025-07-01 00:00:00
348,116,Physical Health,Improve nutrition and overall wellbeing,"Legal Services, Healing",4.2,2025-06-01,On Hold,,2024-10-01 00:00:00,2025-07-01 00:00:00
349,117,Safety,Maintain a stable and safe environment,Legal Services,4.2,2023-09-01,On Hold,2023-07-14,2023-04-01 00:00:00,2023-10-01 00:00:00
350,117,Education,Improve participation and course completion,Healing,0.85,2023-09-01,On Hold,2023-08-30,2023-04-01 00:00:00,2023-10-01 00:00:00
351,117,Physical Health,Improve nutrition and overall wellbeing,"Healing, Teaching, Caring",4.2,2023-09-01,In Progress,,2023-04-01 00:00:00,2023-10-01 00:00:00
